,statement,status
9339,feeling off lately,Suicidal
9340,feeling off lately,Suicidal
9341,everything feels pointless,Depression
9342,don't enjoy things anymore,Depression
9343,everything feels pointless,Depression
9344,feeling off lately,Suicidal
9345,feeling off lately,Suicidal
9346,feeling off lately,Suicidal
9347,feeling off lately,Suicidal
9348,hard to smile lately,Depression
9349,want to stay in bed all day,Depression
9350,no motivation to get up,Depression
9351,feeling off lately,Suicidal
9352,no motivation to get up,Depression
9353,feeling off lately,Suicidal
9354,want to stay in bed all day,Depression
9355,everything feels pointless,Depression
9356,feeling off lately,Suicidal
9357,tired even after sleep,Depression
9358,feeling off lately,Suicidal
9359,tired even after sleep,Depression
9360,feeling off lately,Suicidal
9361,feeling off lately,Suicidal
9362,feeling low and withdrawn,Depression
9363,want to stay in bed all day,Depression
9364,everything feels heavy,Depression
9365,feeling low and withdrawn,Depression
9366,no motivation to get up,Depression
9367,no appetite to eat,Depression
9368,tired even after sleep,Depression
9369,feeling off lately,Suicidal
9370,no appetite to eat,Depression
9371,no appetite to eat,Depression
9372,want to stay in bed all day,Depression
9373,hard to smile lately,Depression
9374,feeling low and withdrawn,Depression
9375,want to stay in bed all day,Depression
9376,everything feels heavy,Depression
9377,feeling off lately,Suicidal
9378,no motivation to get up,Depression
9379,feeling off lately,Suicidal
9380,feeling off lately,Suicidal
9381,feeling off lately,Suicidal
9382,feeling empty inside,Depression
9383,feeling off lately,Suicidal
9384,feeling off lately,Suicidal
9385,feeling off lately,Suicidal
9386,feeling off lately,Suicidal
9387,feeling off lately,Suicidal
9388,no appetite to eat,Depression
9389,feeling off lately,Suicidal
9390,everything feels pointless,Depression
9391,everything feels heavy,Depression
9392,everything feels heavy,Depression
9393,no appetite to eat,Depression
9394,hard to smile lately,Depression
9395,tired even after sleep,Depression
9396,don't enjoy things anymore,Depression
9397,no motivation to get up,Depression
9398,feeling off lately,Suicidal
9399,feeling empty inside,Depression
9400,feeling off lately,Suicidal
9401,feeling off lately,Suicidal
9402,feeling off lately,Suicidal
9403,no motivation to get up,Depression
9404,feeling off lately,Suicidal
9405,no appetite to eat,Depression
9406,tired even after sleep,Depression
9407,no appetite to eat,Depression
9408,no appetite to eat,Depression
9409,feeling off lately,Suicidal
9410,feeling off lately,Suicidal
9411,everything feels pointless,Depression
9412,feeling empty inside,Depression
9413,feeling off lately,Suicidal
9414,feeling off lately,Suicidal
9415,feeling off lately,Suicidal
9416,feeling off lately,Suicidal
9417,feeling off lately,Suicidal
9418,feeling off lately,Suicidal
9419,no motivation to get up,Depression
9420,feeling low and withdrawn,Depression
9421,no appetite to eat,Depression
9422,want to stay in bed all day,Depression
9423,want to stay in bed all day,Depression
9424,no motivation to get up,Depression
9425,hard to smile lately,Depression
9426,don't enjoy things anymore,Depression
9427,tired even after sleep,Depression
9428,feeling off lately,Suicidal
9429,no motivation to get up,Depression
9430,feeling off lately,Suicidal
9431,feeling low and withdrawn,Depression
9432,feeling off lately,Suicidal
9433,feeling low and withdrawn,Depression
9434,feeling off lately,Suicidal
9435,feeling off lately,Suicidal
9436,everything feels pointless,Depression
9437,no appetite to eat,Depression
9438,feeling empty inside,Depression
9439,feeling off lately,Suicidal
9440,feeling empty inside,Depression
9441,no appetite to eat,Depression
9442,everything feels heavy,Depression
9443,hard to smile lately,Depression
9444,feeling off lately,Suicidal
9445,feeling off lately,Suicidal
9446,feeling off lately,Suicidal
9447,feeling off lately,Suicidal
9448,don't enjoy things anymore,Depression
9449,want to stay in bed all day,Depression
9450,no appetite to eat,Depression
9451,want to stay in bed all day,Depression
9452,feeling empty inside,Depression
9453,everything feels pointless,Depression
9454,no motivation to get up,Depression
9455,feeling off lately,Suicidal
9456,feeling low and withdrawn,Depression
9457,no appetite to eat,Depression
9458,tired even after sleep,Depression
9459,feeling off lately,Suicidal
9460,feeling off lately,Suicidal
9461,want to stay in bed all day,Depression
9462,feeling off lately,Suicidal
9463,feeling low and withdrawn,Depression
9464,don't enjoy things anymore,Depression
9465,feeling off lately,Suicidal
9466,want to stay in bed all day,Depression
9467,feeling off lately,Suicidal
9468,no appetite to eat,Depression
9469,tired even after sleep,Depression
9470,feeling low and withdrawn,Depression
9471,tired even after sleep,Depression
9472,everything feels pointless,Depression
9473,feeling off lately,Suicidal
9474,want to stay in bed all day,Depression
9475,feeling off lately,Suicidal
9476,no appetite to eat,Depression
9477,feeling off lately,Suicidal
9478,feeling empty inside,Depression
9479,feeling off lately,Suicidal
9480,feeling off lately,Suicidal
9481,feeling off lately,Suicidal
9482,no motivation to get up,Depression
9483,no motivation to get up,Depression
9484,want to stay in bed all day,Depression
9485,everything feels heavy,Depression
9486,feeling off lately,Suicidal
9487,feeling off lately,Suicidal
9488,no appetite to eat,Depression
9489,want to stay in bed all day,Depression
9490,feeling off lately,Suicidal
9491,no appetite to eat,Depression
9492,feeling off lately,Suicidal
9493,everything feels heavy,Depression
9494,don't enjoy things anymore,Depression
9495,everything feels pointless,Depression
9496,want to stay in bed all day,Depression
9497,feeling off lately,Suicidal
9498,tired even after sleep,Depression
9499,hard to smile lately,Depression
9500,no motivation to get up,Depression
9501,everything feels pointless,Depression
9502,everything feels pointless,Depression
9503,everything feels heavy,Depression
9504,no appetite to eat,Depression
9505,everything feels pointless,Depression
9506,feeling off lately,Suicidal
9507,want to stay in bed all day,Depression
9508,hard to smile lately,Depression
9509,feeling off lately,Suicidal
9510,feeling off lately,Suicidal
9511,feeling off lately,Suicidal
9512,want to stay in bed all day,Depression
9513,want to stay in bed all day,Depression
9514,feeling off lately,Suicidal
9515,feeling off lately,Suicidal
9516,feeling off lately,Suicidal
9517,no appetite to eat,Depression
9518,everything feels pointless,Depression
9519,feeling off lately,Suicidal
9520,everything feels heavy,Depression
9521,feeling off lately,Suicidal
9522,feeling empty inside,Depression
9523,feeling off lately,Suicidal
9524,feeling off lately,Suicidal
9525,tired even after sleep,Depression
9526,no appetite to eat,Depression
9527,want to stay in bed all day,Depression
9528,feeling empty inside,Depression
9529,feeling off lately,Suicidal
9530,no motivation to get up,Depression
9531,feeling off lately,Suicidal
9532,feeling off lately,Suicidal
9533,everything feels heavy,Depression
9534,everything feels pointless,Depression
9535,tired even after sleep,Depression
9536,feeling low and withdrawn,Depression
9537,feeling off lately,Suicidal
9538,feeling off lately,Suicidal
9539,don't enjoy things anymore,Depression
9540,everything feels heavy,Depression
9541,hard to smile lately,Depression
9542,feeling off lately,Suicidal
9543,feeling off lately,Suicidal
9544,feeling off lately,Suicidal
9545,feeling low and withdrawn,Depression
9546,feeling off lately,Suicidal
9547,feeling off lately,Suicidal
9548,feeling low and withdrawn,Depression
9549,no motivation to get up,Depression
9550,feeling empty inside,Depression
9551,tired even after sleep,Depression
9552,feeling low and withdrawn,Depression
9553,no motivation to get up,Depression
9554,feeling off lately,Suicidal
9555,tired even after sleep,Depression
9556,no appetite to eat,Depression
9557,no appetite to eat,Depression
9558,no appetite to eat,Depression
9559,feeling off lately,Suicidal
9560,feeling empty inside,Depression
9561,feeling low and withdrawn,Depression
9562,everything feels pointless,Depression
9563,feeling off lately,Suicidal
9564,no appetite to eat,Depression
9565,no appetite to eat,Depression
9566,tired even after sleep,Depression
9567,feeling low and withdrawn,Depression
9568,feeling off lately,Suicidal
9569,tired even after sleep,Depression
9570,tired even after sleep,Depression
9571,feeling off lately,Suicidal
9572,tired even after sleep,Depression
9573,feeling off lately,Suicidal
9574,feeling off lately,Suicidal
9575,feeling off lately,Suicidal
9576,feeling off lately,Suicidal
9577,everything feels heavy,Depression
9578,feeling low and withdrawn,Depression
9579,feeling off lately,Suicidal
9580,feeling low and withdrawn,Depression
9581,feeling empty inside,Depression
9582,feeling off lately,Suicidal
9583,tired even after sleep,Depression
9584,feeling off lately,Suicidal
9585,no motivation to get up,Depression
9586,feeling off lately,Suicidal
9587,feeling off lately,Suicidal
9588,feeling low and withdrawn,Depression
9589,feeling low and withdrawn,Depression
9590,feeling off lately,Suicidal
9591,feeling off lately,Suicidal
9592,feeling off lately,Suicidal
9593,everything feels pointless,Depression
9594,want to stay in bed all day,Depression
9595,feeling off lately,Suicidal
9596,want to stay in bed all day,Depression
9597,feeling low and withdrawn,Depression
9598,everything feels pointless,Depression
9599,tired even after sleep,Depression
9600,feeling off lately,Suicidal
9601,no motivation to get up,Depression
9602,feeling off lately,Suicidal
9603,feeling off lately,Suicidal
9604,no appetite to eat,Depression
9605,feeling off lately,Suicidal
9606,feeling off lately,Suicidal
9607,tired even after sleep,Depression
9608,everything feels pointless,Depression
9609,feeling off lately,Suicidal
9610,feeling off lately,Suicidal
9611,feeling off lately,Suicidal
9612,feeling off lately,Suicidal
9613,don't enjoy things anymore,Depression
9614,feeling off lately,Suicidal
9615,feeling off lately,Suicidal
9616,feeling off lately,Suicidal
9617,feeling off lately,Suicidal
9618,no motivation to get up,Depression
9619,everything feels pointless,Depression
9620,feeling off lately,Suicidal
9621,no appetite to eat,Depression
9622,no appetite to eat,Depression
9623,everything feels pointless,Depression
9624,feeling off lately,Suicidal
9625,feeling off lately,Suicidal
9626,everything feels pointless,Depression
9627,no motivation to get up,Depression
9628,feeling off lately,Suicidal
9629,no appetite to eat,Depression
9630,tired even after sleep,Depression
9631,tired even after sleep,Depression
9632,feeling off lately,Suicidal
9633,feeling off lately,Suicidal
9634,everything feels pointless,Depression
9635,want to stay in bed all day,Depression
9636,feeling off lately,Suicidal
9637,feeling off lately,Suicidal
9638,feeling off lately,Suicidal
9639,feeling off lately,Suicidal
9640,feeling off lately,Suicidal
9641,feeling low and withdrawn,Depression
9642,want to stay in bed all day,Depression
9643,feeling off lately,Suicidal
9644,want to stay in bed all day,Depression
9645,feeling off lately,Suicidal
9646,feeling off lately,Suicidal
9647,feeling off lately,Suicidal
9648,feeling off lately,Suicidal
9649,feeling off lately,Suicidal
9650,want to stay in bed all day,Depression
9651,everything feels pointless,Depression
9652,feeling off lately,Suicidal
9653,feeling off lately,Suicidal
9654,feeling off lately,Suicidal
9655,feeling off lately,Suicidal
9656,everything feels heavy,Depression
9657,tired even after sleep,Depression
9658,feeling low and withdrawn,Depression
9659,everything feels heavy,Depression
9660,feeling low and withdrawn,Depression
9661,feeling low and withdrawn,Depression
9662,hard to smile lately,Depression
9663,feeling off lately,Suicidal
9664,feeling empty inside,Depression
9665,feeling empty inside,Depression
9666,feeling off lately,Suicidal
9667,feeling off lately,Suicidal
9668,feeling off lately,Suicidal
9669,feeling off lately,Suicidal
9670,don't enjoy things anymore,Depression
9671,don't enjoy things anymore,Depression
9672,feeling off lately,Suicidal
9673,feeling off lately,Suicidal
9674,feeling off lately,Suicidal
9675,tired even after sleep,Depression
9676,no motivation to get up,Depression
9677,no motivation to get up,Depression
9678,feeling off lately,Suicidal
9679,feeling off lately,Suicidal
9680,feeling off lately,Suicidal
9681,don't enjoy things anymore,Depression
9682,feeling off lately,Suicidal
9683,feeling off lately,Suicidal
9684,feeling off lately,Suicidal
9685,no appetite to eat,Depression
9686,feeling empty inside,Depression
9687,feeling off lately,Suicidal
9688,feeling off lately,Suicidal
9689,hard to smile lately,Depression
9690,feeling off lately,Suicidal
9691,feeling low and withdrawn,Depression
9692,feeling off lately,Suicidal
9693,want to stay in bed all day,Depression
9694,feeling low and withdrawn,Depression
9695,feeling off lately,Suicidal
9696,feeling off lately,Suicidal
9697,feeling off lately,Suicidal
9698,feeling low and withdrawn,Depression
9699,feeling off lately,Suicidal
9700,tired even after sleep,Depression
9701,everything feels pointless,Depression
9702,want to stay in bed all day,Depression
9703,feeling off lately,Suicidal
9704,no motivation to get up,Depression
9705,feeling off lately,Suicidal
9706,feeling off lately,Suicidal
9707,feeling off lately,Suicidal
9708,feeling off lately,Suicidal
9709,everything feels pointless,Depression
9710,tired even after sleep,Depression
9711,want to stay in bed all day,Depression
9712,feeling empty inside,Depression
9713,everything feels heavy,Depression
9714,no appetite to eat,Depression
9715,everything feels pointless,Depression
9716,tired even after sleep,Depression
9717,feeling off lately,Suicidal
9718,feeling off lately,Suicidal
9719,hard to smile lately,Depression
9720,feeling low and withdrawn,Depression
9721,no appetite to eat,Depression
9722,no motivation to get up,Depression
9723,feeling off lately,Suicidal
9724,feeling off lately,Suicidal
9725,feeling low and withdrawn,Depression
9726,feeling off lately,Suicidal
9727,feeling off lately,Suicidal
9728,tired even after sleep,Depression
9729,feeling low and withdrawn,Depression
9730,feeling off lately,Suicidal
9731,feeling off lately,Suicidal
9732,feeling off lately,Suicidal
9733,hard to smile lately,Depression
9734,feeling off lately,Suicidal
9735,feeling off lately,Suicidal
9736,feeling off lately,Suicidal
9737,hard to smile lately,Depression
9738,everything feels heavy,Depression
9739,feeling off lately,Suicidal
9740,no motivation to get up,Depression
9741,don't enjoy things anymore,Depression
9742,want to stay in bed all day,Depression
9743,hard to smile lately,Depression
9744,everything feels heavy,Depression
9745,no appetite to eat,Depression
9746,no appetite to eat,Depression
9747,feeling off lately,Suicidal
9748,feeling off lately,Suicidal
9749,no motivation to get up,Depression
9750,feeling off lately,Suicidal
9751,feeling off lately,Suicidal
9752,feeling off lately,Suicidal
9753,feeling off lately,Suicidal
9754,feeling off lately,Suicidal
9755,feeling empty inside,Depression
9756,feeling off lately,Suicidal
9757,feeling empty inside,Depression
9758,no motivation to get up,Depression
9759,feeling empty inside,Depression
9760,feeling low and withdrawn,Depression
9761,hard to smile lately,Depression
9762,everything feels pointless,Depression
9763,feeling off lately,Suicidal
9764,no motivation to get up,Depression
9765,tired even after sleep,Depression
9766,no appetite to eat,Depression
9767,want to stay in bed all day,Depression
9768,everything feels heavy,Depression
9769,everything feels pointless,Depression
9770,feeling off lately,Suicidal
9771,feeling off lately,Suicidal
9772,feeling off lately,Suicidal
9773,feeling off lately,Suicidal
9774,tired even after sleep,Depression
9775,feeling low and withdrawn,Depression
9776,everything feels pointless,Depression
9777,tired even after sleep,Depression
9778,tired even after sleep,Depression
9779,everything feels pointless,Depression
9780,feeling off lately,Suicidal
9781,feeling off lately,Suicidal
9782,hard to smile lately,Depression
9783,feeling off lately,Suicidal
9784,everything feels pointless,Depression
9785,feeling off lately,Suicidal
9786,want to stay in bed all day,Depression
9787,don't enjoy things anymore,Depression
9788,hard to smile lately,Depression
9789,want to stay in bed all day,Depression
9790,feeling off lately,Suicidal
9791,feeling off lately,Suicidal
9792,feeling low and withdrawn,Depression
9793,feeling off lately,Suicidal
9794,feeling off lately,Suicidal
9795,feeling off lately,Suicidal
9796,everything feels heavy,Depression
9797,feeling off lately,Suicidal
9798,feeling off lately,Suicidal
9799,everything feels heavy,Depression
9800,everything feels pointless,Depression
9801,feeling off lately,Suicidal
9802,tired even after sleep,Depression
9803,feeling off lately,Suicidal
9804,everything feels heavy,Depression
9805,feeling off lately,Suicidal
9806,feeling empty inside,Depression
9807,feeling off lately,Suicidal
9808,feeling off lately,Suicidal
9809,feeling off lately,Suicidal
9810,don't enjoy things anymore,Depression
9811,everything feels pointless,Depression
9812,feeling off lately,Suicidal
9813,tired even after sleep,Depression
9814,don't enjoy things anymore,Depression
9815,feeling off lately,Suicidal
9816,feeling off lately,Suicidal
9817,feeling off lately,Suicidal
9818,feeling off lately,Suicidal
9819,hard to smile lately,Depression
9820,feeling off lately,Suicidal
9821,want to stay in bed all day,Depression
9822,feeling low and withdrawn,Depression
9823,feeling low and withdrawn,Depression
9824,everything feels pointless,Depression
9825,feeling off lately,Suicidal
9826,feeling off lately,Suicidal
9827,no motivation to get up,Depression
9828,feeling off lately,Suicidal
9829,feeling empty inside,Depression
9830,feeling off lately,Suicidal
9831,feeling off lately,Suicidal
9832,tired even after sleep,Depression
9833,no appetite to eat,Depression
9834,don't enjoy things anymore,Depression
9835,everything feels pointless,Depression
9836,no motivation to get up,Depression
9837,feeling off lately,Suicidal
9838,feeling off lately,Suicidal
9839,feeling off lately,Suicidal
9840,feeling off lately,Suicidal
9841,no motivation to get up,Depression
9842,feeling off lately,Suicidal
9843,feeling off lately,Suicidal
9844,feeling off lately,Suicidal
9845,feeling off lately,Suicidal
9846,feeling empty inside,Depression
9847,feeling off lately,Suicidal
9848,feeling off lately,Suicidal
9849,feeling off lately,Suicidal
9850,everything feels heavy,Depression
9851,feeling off lately,Suicidal
9852,don't enjoy things anymore,Depression
9853,hard to smile lately,Depression
9854,feeling off lately,Suicidal
9855,want to stay in bed all day,Depression
9856,feeling off lately,Suicidal
9857,feeling off lately,Suicidal
9858,feeling off lately,Suicidal
9859,feeling off lately,Suicidal
9860,feeling off lately,Suicidal
9861,feeling off lately,Suicidal
9862,feeling off lately,Suicidal
9863,don't enjoy things anymore,Depression
9864,feeling off lately,Suicidal
9865,feeling off lately,Suicidal
9866,everything feels heavy,Depression
9867,don't enjoy things anymore,Depression
9868,feeling off lately,Suicidal
9869,no motivation to get up,Depression
9870,no appetite to eat,Depression
9871,feeling off lately,Suicidal
9872,feeling off lately,Suicidal
9873,feeling off lately,Suicidal
9874,feeling off lately,Suicidal
9875,feeling empty inside,Depression
9876,feeling empty inside,Depression
9877,no motivation to get up,Depression
9878,feeling off lately,Suicidal
9879,feeling off lately,Suicidal
9880,no motivation to get up,Depression
9881,tired even after sleep,Depression
9882,feeling off lately,Suicidal
9883,don't enjoy things anymore,Depression
9884,feeling off lately,Suicidal
9885,feeling low and withdrawn,Depression
9886,feeling off lately,Suicidal
9887,feeling off lately,Suicidal
9888,feeling off lately,Suicidal
9889,no appetite to eat,Depression
9890,no motivation to get up,Depression
9891,no motivation to get up,Depression
9892,tired even after sleep,Depression
9893,no appetite to eat,Depression
9894,feeling off lately,Suicidal
9895,feeling off lately,Suicidal
9896,don't enjoy things anymore,Depression
9897,tired even after sleep,Depression
9898,feeling off lately,Suicidal
9899,feeling off lately,Suicidal
9900,feeling off lately,Suicidal
9901,feeling off lately,Suicidal
9902,feeling off lately,Suicidal
9903,feeling off lately,Suicidal
9904,feeling off lately,Suicidal
9905,feeling off lately,Suicidal
9906,want to stay in bed all day,Depression
9907,feeling off lately,Suicidal
9908,don't enjoy things anymore,Depression
9909,feeling off lately,Suicidal
9910,feeling off lately,Suicidal
9911,feeling off lately,Suicidal
9912,feeling off lately,Suicidal
9913,feeling off lately,Suicidal
9914,hard to smile lately,Depression
9915,no appetite to eat,Depression
9916,feeling empty inside,Depression
9917,feeling off lately,Suicidal
9918,feeling off lately,Suicidal
9919,feeling off lately,Suicidal
9920,feeling low and withdrawn,Depression
9921,feeling off lately,Suicidal
9922,feeling off lately,Suicidal
9923,feeling off lately,Suicidal
9924,feeling off lately,Suicidal
9925,feeling off lately,Suicidal
9926,feeling off lately,Suicidal
9927,everything feels heavy,Depression
9928,feeling low and withdrawn,Depression
9929,don't enjoy things anymore,Depression
9930,feeling off lately,Suicidal
9931,feeling off lately,Suicidal
9932,don't enjoy things anymore,Depression
9933,feeling off lately,Suicidal
9934,feeling off lately,Suicidal
9935,feeling off lately,Suicidal
9936,tired even after sleep,Depression
9937,feeling low and withdrawn,Depression
9938,feeling off lately,Suicidal
9939,feeling off lately,Suicidal
9940,everything feels heavy,Depression
9941,feeling off lately,Suicidal
9942,no motivation to get up,Depression
9943,no motivation to get up,Depression
9944,feeling off lately,Suicidal
9945,feeling off lately,Suicidal
9946,feeling off lately,Suicidal
9947,everything feels pointless,Depression
9948,feeling off lately,Suicidal
9949,feeling off lately,Suicidal
9950,feeling low and withdrawn,Depression
9951,feeling off lately,Suicidal
9952,feeling off lately,Suicidal
9953,no motivation to get up,Depression
9954,feeling off lately,Suicidal
9955,no motivation to get up,Depression
9956,feeling off lately,Suicidal
9957,no appetite to eat,Depression
9958,feeling off lately,Suicidal
9959,feeling empty inside,Depression
9960,feeling off lately,Suicidal
9961,feeling off lately,Suicidal
9962,feeling off lately,Suicidal
9963,feeling off lately,Suicidal
9964,feeling off lately,Suicidal
9965,feeling off lately,Suicidal
9966,tired even after sleep,Depression
9967,want to stay in bed all day,Depression
9968,feeling off lately,Suicidal
9969,feeling low and withdrawn,Depression
9970,feeling empty inside,Depression
9971,feeling empty inside,Depression
9972,feeling off lately,Suicidal
9973,feeling off lately,Suicidal
9974,feeling off lately,Suicidal
9975,no motivation to get up,Depression
9976,everything feels pointless,Depression
9977,feeling off lately,Suicidal
9978,feeling off lately,Suicidal
9979,feeling off lately,Suicidal
9980,everything feels pointless,Depression
9981,feeling off lately,Suicidal
9982,hard to smile lately,Depression
9983,feeling off lately,Suicidal
9984,tired even after sleep,Depression
9985,feeling off lately,Suicidal
9986,feeling off lately,Suicidal
9987,feeling off lately,Suicidal
9988,feeling off lately,Suicidal
9989,feeling off lately,Suicidal
9990,feeling off lately,Suicidal
9991,everything feels pointless,Depression
9992,no appetite to eat,Depression
9993,feeling off lately,Suicidal
9994,want to stay in bed all day,Depression
9995,feeling off lately,Suicidal
9996,don't enjoy things anymore,Depression
9997,feeling off lately,Suicidal
9998,everything feels heavy,Depression
9999,feeling off lately,Suicidal
10000,feeling off lately,Suicidal
10001,feeling off lately,Suicidal
10002,feeling empty inside,Depression
10003,feeling low and withdrawn,Depression
10004,feeling empty inside,Depression
10005,feeling off lately,Suicidal
10006,feeling off lately,Suicidal
10007,no appetite to eat,Depression
10008,everything feels heavy,Depression
10009,tired even after sleep,Depression
10010,feeling off lately,Suicidal
10011,tired even after sleep,Depression
10012,no appetite to eat,Depression
10013,feeling off lately,Suicidal
10014,tired even after sleep,Depression
10015,feeling off lately,Suicidal
10016,feeling off lately,Suicidal
10017,feeling off lately,Suicidal
10018,want to stay in bed all day,Depression
10019,feeling off lately,Suicidal
10020,feeling off lately,Suicidal
10021,feeling low and withdrawn,Depression
10022,don't enjoy things anymore,Depression
10023,feeling off lately,Suicidal
10024,everything feels heavy,Depression
10025,feeling off lately,Suicidal
10026,feeling off lately,Suicidal
10027,feeling off lately,Suicidal
10028,everything feels pointless,Depression
10029,feeling off lately,Suicidal
10030,everything feels pointless,Depression
10031,feeling empty inside,Depression
10032,don't enjoy things anymore,Depression
10033,feeling off lately,Suicidal
10034,feeling off lately,Suicidal
10035,feeling off lately,Suicidal
10036,feeling off lately,Suicidal
10037,feeling off lately,Suicidal
10038,feeling off lately,Suicidal
10039,feeling off lately,Suicidal
10040,no appetite to eat,Depression
10041,no motivation to get up,Depression
10042,feeling off lately,Suicidal
10043,feeling off lately,Suicidal
10044,feeling off lately,Suicidal
10045,feeling off lately,Suicidal
10046,feeling off lately,Suicidal
10047,hard to smile lately,Depression
10048,feeling off lately,Suicidal
10049,feeling off lately,Suicidal
10050,feeling low and withdrawn,Depression
10051,feeling off lately,Suicidal
10052,no appetite to eat,Depression
10053,feeling off lately,Suicidal
10054,feeling off lately,Suicidal
10055,feeling off lately,Suicidal
10056,don't enjoy things anymore,Depression
10057,feeling off lately,Suicidal
10058,feeling off lately,Suicidal
10059,don't enjoy things anymore,Depression
10060,tired even after sleep,Depression
10061,no appetite to eat,Depression
10062,tired even after sleep,Depression
10063,feeling off lately,Suicidal
10064,everything feels heavy,Depression
10065,feeling off lately,Suicidal
10066,tired even after sleep,Depression
10067,feeling empty inside,Depression
10068,feeling off lately,Suicidal
10069,don't enjoy things anymore,Depression
10070,feeling empty inside,Depression
10071,feeling off lately,Suicidal
10072,feeling off lately,Suicidal
10073,everything feels pointless,Depression
10074,feeling empty inside,Depression
10075,feeling off lately,Suicidal
10076,feeling off lately,Suicidal
10077,feeling off lately,Suicidal
10078,everything feels pointless,Depression
10079,feeling off lately,Suicidal
10080,feeling off lately,Suicidal
10081,no appetite to eat,Depression
10082,want to stay in bed all day,Depression
10083,want to stay in bed all day,Depression
10084,everything feels pointless,Depression
10085,want to stay in bed all day,Depression
10086,feeling empty inside,Depression
10087,feeling off lately,Suicidal
10088,feeling off lately,Suicidal
10089,feeling off lately,Suicidal
10090,feeling empty inside,Depression
10091,everything feels heavy,Depression
10092,feeling off lately,Suicidal
10093,feeling off lately,Suicidal
10094,feeling low and withdrawn,Depression
10095,feeling off lately,Suicidal
10096,hard to smile lately,Depression
10097,no appetite to eat,Depression
10098,feeling off lately,Suicidal
10099,feeling off lately,Suicidal
10100,feeling off lately,Suicidal
10101,feeling off lately,Suicidal
10102,everything feels heavy,Depression
10103,everything feels heavy,Depression
10104,feeling low and withdrawn,Depression
10105,feeling off lately,Suicidal
10106,feeling off lately,Suicidal
10107,feeling off lately,Suicidal
10108,everything feels heavy,Depression
10109,feeling low and withdrawn,Depression
10110,feeling off lately,Suicidal
10111,feeling off lately,Suicidal
10112,hard to smile lately,Depression
10113,feeling off lately,Suicidal
10114,feeling off lately,Suicidal
10115,feeling off lately,Suicidal
10116,don't enjoy things anymore,Depression
10117,hard to smile lately,Depression
10118,no appetite to eat,Depression
10119,tired even after sleep,Depression
10120,feeling off lately,Suicidal
10121,feeling off lately,Suicidal
10122,feeling off lately,Suicidal
10123,feeling off lately,Suicidal
10124,feeling off lately,Suicidal
10125,no appetite to eat,Depression
10126,feeling off lately,Suicidal
10127,feeling off lately,Suicidal
10128,everything feels pointless,Depression
10129,feeling low and withdrawn,Depression
10130,everything feels heavy,Depression
10131,feeling off lately,Suicidal
10132,feeling off lately,Suicidal
10133,want to stay in bed all day,Depression
10134,feeling off lately,Suicidal
10135,feeling off lately,Suicidal
10136,feeling off lately,Suicidal
10137,feeling off lately,Suicidal
10138,feeling off lately,Suicidal
10139,tired even after sleep,Depression
10140,no motivation to get up,Depression
10141,tired even after sleep,Depression
10142,everything feels pointless,Depression
10143,feeling off lately,Suicidal
10144,feeling off lately,Suicidal
10145,feeling low and withdrawn,Depression
10146,tired even after sleep,Depression
10147,feeling off lately,Suicidal
10148,everything feels pointless,Depression
10149,feeling off lately,Suicidal
10150,feeling off lately,Suicidal
10151,tired even after sleep,Depression
10152,hard to smile lately,Depression
10153,tired even after sleep,Depression
10154,feeling off lately,Suicidal
10155,hard to smile lately,Depression
10156,feeling off lately,Suicidal
10157,feeling off lately,Suicidal
10158,tired even after sleep,Depression
10159,want to stay in bed all day,Depression
10160,tired even after sleep,Depression
10161,everything feels heavy,Depression
10162,feeling off lately,Suicidal
10163,feeling off lately,Suicidal
10164,feeling off lately,Suicidal
10165,hard to smile lately,Depression
10166,tired even after sleep,Depression
10167,hard to smile lately,Depression
10168,hard to smile lately,Depression
10169,want to stay in bed all day,Depression
10170,feeling off lately,Suicidal
10171,feeling off lately,Suicidal
10172,tired even after sleep,Depression
10173,tired even after sleep,Depression
10174,hard to smile lately,Depression
10175,feeling low and withdrawn,Depression
10176,feeling off lately,Suicidal
10177,tired even after sleep,Depression
10178,feeling off lately,Suicidal
10179,feeling off lately,Suicidal
10180,feeling off lately,Suicidal
10181,don't enjoy things anymore,Depression
10182,feeling off lately,Suicidal
10183,tired even after sleep,Depression
10184,feeling off lately,Suicidal
10185,everything feels heavy,Depression
10186,feeling off lately,Suicidal
10187,tired even after sleep,Depression
10188,feeling low and withdrawn,Depression
10189,feeling empty inside,Depression
10190,no motivation to get up,Depression
10191,feeling off lately,Suicidal
10192,everything feels pointless,Depression
10193,no appetite to eat,Depression
10194,feeling empty inside,Depression
10195,no appetite to eat,Depression
10196,feeling off lately,Suicidal
10197,feeling off lately,Suicidal
10198,feeling off lately,Suicidal
10199,everything feels heavy,Depression
10200,feeling off lately,Suicidal
10201,feeling off lately,Suicidal
10202,feeling empty inside,Depression
10203,feeling off lately,Suicidal
10204,feeling low and withdrawn,Depression
10205,everything feels pointless,Depression
10206,everything feels heavy,Depression
10207,tired even after sleep,Depression
10208,feeling off lately,Suicidal
10209,feeling off lately,Suicidal
10210,feeling off lately,Suicidal
10211,feeling off lately,Suicidal
10212,feeling off lately,Suicidal
10213,feeling off lately,Suicidal
10214,feeling off lately,Suicidal
10215,feeling off lately,Suicidal
10216,feeling off lately,Suicidal
10217,feeling off lately,Suicidal
10218,feeling off lately,Suicidal
10219,feeling off lately,Suicidal
